kecamatan,tanggal,prediksi
CAKUNG,2020-12-01,3718
CAKUNG,2020-12-02,3779
CAKUNG,2020-12-03,3841
CAKUNG,2020-12-04,3904
CAKUNG,2020-12-05,3968
CAKUNG,2020-12-06,4033
CAKUNG,2020-12-07,4099
CIPAYUNG,2020-12-01,3720
CIPAYUNG,2020-12-02,3783
CIPAYUNG,2020-12-03,3847
CIPAYUNG,2020-12-04,3912
CIPAYUNG,2020-12-05,3978
CIPAYUNG,2020-12-06,4045
CIPAYUNG,2020-12-07,4113
CIRACAS,2020-12-01,3714
CIRACAS,2020-12-02,3770
CIRACAS,2020-12-03,3827
CIRACAS,2020-12-04,3885
CIRACAS,2020-12-05,3944
CIRACAS,2020-12-06,4004
CIRACAS,2020-12-07,4065
DUREN SAWIT,2020-12-01,3703
DUREN SAWIT,2020-12-02,3749
DUREN SAWIT,2020-12-03,3795
DUREN SAWIT,2020-12-04,3842
DUREN SAWIT,2020-12-05,3889
DUREN SAWIT,2020-12-06,3937
DUREN SAWIT,2020-12-07,3985
JATINEGARA,2020-12-01,3710
JATINEGARA,2020-12-02,3762
JATINEGARA,2020-12-03,3815
JATINEGARA,2020-12-04,3869
JATINEGARA,2020-12-05,3924
JATINEGARA,2020-12-06,3979
JATINEGARA,2020-12-07,4035
KRAMAT JATI,2020-12-01,3716
KRAMAT JATI,2020-12-02,3775
KRAMAT JATI,2020-12-03,3835
KRAMAT JATI,2020-12-04,3896
KRAMAT JATI,2020-12-05,3958
KRAMAT JATI,2020-12-06,4021
KRAMAT JATI,2020-12-07,4085
MAKASAR,2020-12-01,3714
MAKASAR,2020-12-02,3771
MAKASAR,2020-12-03,3829
MAKASAR,2020-12-04,3888
MAKASAR,2020-12-05,3948
MAKASAR,2020-12-06,4009
MAKASAR,2020-12-07,4071
MATRAMAN,2020-12-01,3700
MATRAMAN,2020-12-02,3742
MATRAMAN,2020-12-03,3785
MATRAMAN,2020-12-04,3828
MATRAMAN,2020-12-05,3872
MATRAMAN,2020-12-06,3916
MATRAMAN,2020-12-07,3961
PASAR REBO,2020-12-01,3716
PASAR REBO,2020-12-02,3775
PASAR REBO,2020-12-03,3835
PASAR REBO,2020-12-04,3896
PASAR REBO,2020-12-05,3958
PASAR REBO,2020-12-06,4021
PASAR REBO,2020-12-07,4085
PULO GADUNG,2020-12-01,3711
PULO GADUNG,2020-12-02,3765
PULO GADUNG,2020-12-03,3820
PULO GADUNG,2020-12-04,3876
PULO GADUNG,2020-12-05,3933
PULO GADUNG,2020-12-06,3990
PULO GADUNG,2020-12-07,4048
